tradeNumber,entryDate,entryTime,exitDate,exitTime,assetClass,symbol,instrument,optionType,strikePrice,expiryDate,symbolPrice,action,quantity,lotSize,lotUnitSize,entryPremium,entryOrderType,exitPremium,exitOrderType,exitReason,earlyExit,isPlanned,planEntryPrice,planExitPrice,planStopLoss,planLotSize,planQuantity,planAction,planLotUnitSize,slModified,modifiedSL,slModificationReason,isTrailingSL,entryEmotions,entryEmotionNotes,inTradeEmotions,inTradeEmotionNotes,exitEmotions,exitEmotionNotes,postExitEmotions,postExitEmotionNotes,phase,allowedLotSize,setup,totalInvested,notes
39,06-01-2026,12:00,06-01-2026,13:34:00,Index,NIFTY,Options,put,24600,29-01-2026,25584,buy,260,4,65,22,limit,130,market,Manual Exit,No,No,22,107,12,4,260,buy,65,No,14,Target Hit,Yes,anxious,Felt confident entering as setup matched plan and market structure supported the direction.,confident,Experienced emotional swings as price fluctuated.,confident,"Exit was slightly delayed, gave back some profits.",confident,Need to improve patience and trust setup more.,IN-NF-OP-LV-002,4,Breakdown,5720,"Valid setup taken, but hesitation at entry reduced confidence during the trade."
40,06-01-2026,13:00,06-01-2026,15:20:00,Index,NIFTY,Options,call,24100,14-01-2026,23695,sell,195,3,65,37,limit,77,market,Manual Exit,Yes,No,37,125,19,3,195,sell,65,Yes,35,Structure Change,Yes,confident,Felt confident entering as setup matched plan and market structure supported the direction.,calm,"Stayed calm and followed plan, no urge to interfere.",calm,Closed position based on price action change.,confident,Emotional interference impacted decision making.,IN-NF-OP-LV-002,4,Double Top,7215,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
41,07-01-2026,09:10,07-01-2026,09:48:00,Index,NIFTY,Options,put,23150,03-02-2026,25377,sell,260,4,65,120,market,118,market,Manual Exit,No,No,120,179,106,4,260,sell,65,No,111,Time Exit,Yes,anxious,Felt confident entering as setup matched plan and market structure supported the direction.,calm,"Stayed calm and followed plan, no urge to interfere.",anxious,"Exit was slightly delayed, gave back some profits.",anxious,Need to improve patience and trust setup more.,IN-NF-OP-LV-002,4,Range Reversal,31200,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
42,08-01-2026,10:00,08-01-2026,10:40:00,Index,NIFTY,Options,put,23000,25-01-2026,24315,buy,65,1,65,149,market,218,limit,Target,No,Yes,149,247,137,1,65,buy,65,No,139,Time Exit,No,confident,"Entered early anticipating breakout, slightly aggressive decision.",anxious,Confidence increased as trade moved in favor.,calm,"Exited early due to fear of reversal, missed full move.",calm,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-002,4,Breakdown,9685,Solid trade with proper structure; entry timing could be refined.
43,09-01-2026,14:40,09-01-2026,16:01:00,Index,NIFTY,Options,put,23700,23-01-2026,23415,sell,260,4,65,119,limit,121,limit,Manual Exit,Yes,No,119,240,101,4,260,sell,65,No,114,Trailing SL,Yes,anxious,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",confident,Experienced emotional swings as price fluctuated.,calm,"Followed exit rules properly, no regret.",anxious,Emotional interference impacted decision making.,IN-NF-OP-LV-002,4,Range Reversal,30940,Held according to plan; minor emotional discomfort during pullbacks.
44,12-01-2026,09:30,12-01-2026,11:48:00,Index,NIFTY,Options,put,23400,15-01-2026,24103,sell,130,2,65,26,limit,1,market,SL Hit,Yes,Yes,26,108,13,2,130,sell,65,Yes,21,Target Hit,Yes,anxious,"Entered early anticipating breakout, slightly aggressive decision.",calm,"Felt anxious during pullback, considered early exit but held.",anxious,"Exited as per target, well executed trade.",calm,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-002,4,Breakout,3380,"Followed plan well; entry, management, and exit were mostly aligned with rules though timing can improve."
45,12-01-2026,11:30,12-01-2026,12:49:00,Index,NIFTY,Options,call,25400,01-02-2026,25022,buy,65,1,65,194,market,192,market,Manual Exit,No,No,194,320,179,1,65,buy,65,Yes,190,Target Hit,No,confident,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",anxious,Confidence increased as trade moved in favor.,anxious,"Exit was slightly delayed, gave back some profits.",confident,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-002,4,EMA Support,12610,Clean execution in line with system; no major emotional interference observed.
46,12-01-2026,14:05,12-01-2026,14:54:00,Index,NIFTY,Options,call,24550,27-01-2026,22908,buy,195,3,65,54,limit,61,market,Target,Yes,No,54,186,46,3,195,buy,65,No,52,Manual Exit,Yes,confident,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",confident,"Stayed calm and followed plan, no urge to interfere.",anxious,"Exit was slightly delayed, gave back some profits.",calm,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-002,4,Range Reversal,10530,Held according to plan; minor emotional discomfort during pullbacks.
47,13-01-2026,12:45,13-01-2026,15:39:00,Index,NIFTY,Options,put,23700,06-02-2026,25299,buy,195,3,65,145,limit,91,market,SL Hit,No,No,145,264,128,3,195,buy,65,No,137,Structure Change,Yes,confident,Felt confident entering as setup matched plan and market structure supported the direction.,anxious,"Stayed calm and followed plan, no urge to interfere.",confident,"Exited early due to fear of reversal, missed full move.",confident,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-002,4,Breakout,28275,Held according to plan; minor emotional discomfort during pullbacks.
48,15-01-2026,10:50,15-01-2026,12:49:00,Index,NIFTY,Options,put,25550,12-01-2026,22127,buy,195,3,65,91,market,277,limit,Target,Yes,No,91,154,72,3,195,buy,65,Yes,82,Structure Change,No,anxious,Felt confident entering as setup matched plan and market structure supported the direction.,anxious,"Disciplined throughout, no unnecessary adjustments.",calm,"Followed exit rules properly, no regret.",confident,Emotional interference impacted decision making.,IN-NF-OP-LV-002,4,EMA Support,17745,Solid trade with proper structure; entry timing could be refined.
49,15-01-2026,12:40,15-01-2026,12:58:00,Index,NIFTY,Options,call,25150,08-01-2026,25440,sell,195,3,65,22,limit,110,market,SL Hit,No,No,22,105,11,3,195,sell,65,No,21,Target Hit,No,calm,"Entered early anticipating breakout, slightly aggressive decision.",confident,"Disciplined throughout, no unnecessary adjustments.",confident,"Exit was slightly delayed, gave back some profits.",calm,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-002,4,Breakout,4290,Solid trade with proper structure; entry timing could be refined.
50,16-01-2026,12:15,16-01-2026,13:57:00,Index,NIFTY,Options,put,25750,25-01-2026,22187,sell,65,1,65,105,limit,162,market,Target,No,No,105,179,87,1,65,sell,65,No,95,Trailing SL,No,confident,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",anxious,Experienced emotional swings as price fluctuated.,anxious,"Exited as per target, well executed trade.",calm,Review suggests minor improvements in timing.,IN-NF-OP-LV-002,4,Breakdown,6825,Good risk control; exit decision lacked conviction and left some profits.
51,19-01-2026,09:55,19-01-2026,11:57:00,Index,NIFTY,Options,put,25500,31-01-2026,24712,sell,195,3,65,45,market,43,market,SL Hit,No,No,45,190,40,3,195,sell,65,No,43,Time Exit,Yes,confident,Calm and patient entry after waiting for confirmation candle.,anxious,Experienced emotional swings as price fluctuated.,anxious,"Exited as per target, well executed trade.",anxious,"Overall a disciplined trade, aligned with plan.",IN-NF-OP-LV-002,4,Breakout,8775,Overall consistent execution; focus on reducing hesitation going forward.
52,19-01-2026,10:00,19-01-2026,12:10:00,Index,NIFTY,Options,call,23850,06-02-2026,22785,buy,260,4,65,168,market,175,market,Target,Yes,No,168,259,163,4,260,buy,65,No,163,Manual Exit,Yes,calm,"FOMO-driven entry after seeing quick move, not fully aligned with rules.",confident,"Stayed calm and followed plan, no urge to interfere.",anxious,"Exited as per target, well executed trade.",anxious,"Good execution, reinforces confidence in system.",IN-NF-OP-LV-002,4,Breakdown,43680,Overall consistent execution; focus on reducing hesitation going forward.
